,peakid,det_lat,det_lon,country,triggertime,triggertime_local,pytz,nighttime,signals,actives,felt_reports_green,felt_reports_yellow,felt_reports_red,notification_time,notification_delay_from_detection,intensity_strong,cat,num_eq_matches,origintime,magtype,magnitude,eq_lat,eq_lon,depth,separation,triggerdelay,P_at_surface_delay,offshore,dist_shore,closest_land_lat,closest_land_lon,P_at_coast_delay,P_on_land_surface_delay,triggerdelay_wrt_P,triggerdelay_wrt_S,causal_phase
11,7078922,16.872,-99.908,mex,2020-01-30 06:47:28.000000000,2020-01-30 00:47:28-06:00,America/Mexico_City,True,12,54,48,13,2,,,,USGS,1,2020-01-30 06:47:22.415999889,mww,5.2,16.941,-99.979,13.59,10.7,5.6,2.3,False,,,,,2.3,2.6,0.6,P
21,1601615,41.363,19.76,alb,2020-01-28 20:15:17.000000000,2020-01-28 21:15:17+01:00,Europe/Tirane,False,9,34,19,20,5,,,,USGS,1,2020-01-28 20:15:08.171000004,mb,5.1,41.466,19.536,10.0,21.9,8.8,1.7,False,,,,,1.7,4.7,1.9,P
51,3430276,18.235,-66.81,pri,2020-01-25 20:20:50.000000000,2020-01-25 16:20:50-04:00,America/Puerto_Rico,False,39,359,1447,1623,295,,,,USGS,1,2020-01-25 20:20:38.640000105,ml,5.0,18.01,-66.819,13.0,24.9,11.4,2.2,False,,,,,2.2,6.5,3.3,S
63,4700451,-17.196,-70.939,per,2020-01-24 05:14:05.000000000,2020-01-24 00:14:05-05:00,America/Lima,True,8,13,142,68,9,,,,USGS,1,2020-01-24 05:13:49.880000114,mww,5.3,-17.39,-71.016,82.32,22.9,15.1,11.6,False,,,,,11.6,3.1,-5.9,P
154,9402287,16.269,-95.206,mex,2020-01-17 02:07:27.000000000,2020-01-16 20:07:27-06:00,America/Mexico_City,False,8,24,134,38,6,,,,USGS,1,2020-01-17 02:07:21.192999840,mww,5.2,16.595,-95.058,17.46,39.4,5.8,3.0,False,,,,,3.0,-1.6,-6.6,P
186,9311289,18.053,-66.815,pri,2020-01-15 15:36:35.000000000,2020-01-15 11:36:35-04:00,America/Puerto_Rico,False,37,247,1184,733,145,,,,USGS,1,2020-01-15 15:36:23.849999905,mwp,5.2,17.916,-67.017,5.0,26.3,11.2,0.9,False,,,,,0.9,6.5,3.4,S
189,3333047,-9.1,-78.542,per,2020-01-15 09:45:42.000000000,2020-01-15 04:45:42-05:00,America/Lima,True,11,48,623,91,15,,,,USGS,1,2020-01-15 09:45:18.483000040,mww,5.4,-10.354,-78.591,36.03,138.8,23.5,5.9,True,53.5,-10.151,-78.148,10.4,10.4,2.6,-13.0,P
200,6250043,-2.173,-79.904,ecu,2019-02-04 17:45:59.000000000,2019-02-04 12:45:59-05:00,America/Guayaquil,False,22,,,,,,,,USGS,1,2019-02-04 17:45:48.099999905,mww,5.8,-2.408,-79.835,70.0,27.1,10.9,10.1,False,,,,,10.1,0.1,-7.8,P
205,2943102,16.207,-95.2,mex,2019-01-21 11:57:36.000000000,2019-01-21 05:57:36-06:00,America/Mexico_City,True,20,,,,,,,,USGS,1,2019-01-21 11:57:20.110000134,mww,5.6,15.584,-94.737,29.0,84.9,15.9,4.8,True,67.3,16.191,-94.691,12.1,12.1,1.2,-8.9,P
209,2354156,-32.809,-71.264,chl,2019-01-20 01:33:38.000000000,2019-01-19 22:33:38-03:00,America/Santiago,False,9,33,996,701,108,2019-01-20 01:33:57.000000,19.0,1,USGS,1,2019-01-20 01:32:52.480000019,mww,6.7,-30.04,-71.382,63.0,307.2,45.5,9.2,False,,,,,9.2,3.7,-28.5,P
241,1718914,-22.462,-68.924,chl,2020-01-14 01:57:56.000000000,2020-01-13 22:57:56-03:00,America/Santiago,False,8,16,113,11,0,2020-01-14 01:58:29.000000,33.0,0,USGS,1,2020-01-14 01:57:28.755000114,mww,5.0,-21.735,-68.274,109.13,104.8,27.2,15.0,False,,,,,15.0,6.7,-8.7,P
330,6979743,18.027,-66.892,pri,2020-01-10 22:26:30.000000000,2020-01-10 18:26:30-04:00,America/Puerto_Rico,False,21,222,1350,1352,452,,,,USGS,1,2020-01-10 22:26:25.000000000,ml,5.2,17.935,-66.883,9.0,10.2,5.0,1.6,False,,,,,1.6,2.7,1.1,P
407,9426588,-20.252,-70.124,chl,2020-01-08 08:48:11.000000000,2020-01-08 05:48:11-03:00,America/Santiago,True,24,284,47,11,0,2020-01-08 08:48:59.000000,48.0,0,USGS,1,2020-01-08 08:47:44.102000237,mww,5.2,-20.43,-68.711,102.05,148.9,26.9,14.1,False,,,,,14.1,2.5,-16.0,P
467,4362307,18.128,-67.073,pri,2020-01-07 11:18:53.000000000,2020-01-07 07:18:53-04:00,America/Puerto_Rico,False,9,27,350,493,211,,,,USGS,2,2020-01-07 11:18:43.539999962,mwp,5.6,18.022,-66.776,9.0,33.5,9.5,1.6,False,,,,,1.6,3.5,-0.6,P
474,5180860,18.19,-67.098,pri,2020-01-07 08:24:39.000000000,2020-01-07 04:24:39-04:00,America/Puerto_Rico,True,75,734,288,624,491,,,,USGS,1,2020-01-07 08:24:25.262000084,mww,6.4,17.869,-66.827,8.95,45.7,13.7,1.5,True,8.8,17.947,-66.843,2.2,2.2,5.7,0.3,P
504,6783036,18.033,-66.691,pri,2020-01-06 10:32:31.000000000,2020-01-06 06:32:31-04:00,America/Puerto_Rico,True,85,489,470,433,105,,,,USGS,1,2020-01-06 10:32:18.769999981,mwp,5.8,17.868,-66.819,6.0,22.8,12.2,1.0,True,9.1,17.947,-66.842,1.9,1.9,8.2,5.4,S
509,5795591,16.443,-94.992,mex,2020-01-05 04:41:06.000000000,2020-01-04 22:41:06-06:00,America/Mexico_City,False,13,51,178,88,20,,,,USGS,1,2020-01-05 04:40:49.332000017,mww,5.9,16.401,-94.489,87.0,53.9,16.7,12.2,False,,,,,12.2,2.4,-8.2,P
530,8120418,-29.975,-71.299,chl,2020-01-01 16:51:45.000000000,2020-01-01 13:51:45-03:00,America/Santiago,False,11,52,66,6,0,2020-01-01 16:52:06.000000,21.0,0,USGS,1,2020-01-01 16:51:32.284999847,mwr,5.0,-30.286,-71.558,40.88,42.5,12.7,6.5,False,,,,,6.5,3.4,-3.0,P
558,1561990,18.032,-66.646,pri,2019-12-29 01:06:12.000000000,2019-12-28 21:06:12-04:00,America/Puerto_Rico,False,8,20,105,77,13,,,,USGS,1,2019-12-29 01:06:00.129999875,ml,5.0,17.885,-66.864,6.0,28.3,11.9,1.0,True,6.2,17.94,-66.876,1.5,1.5,6.9,3.5,S
577,1656226,43.871,11.201,ita,2019-12-09 03:37:11.000000000,2019-12-09 04:37:11+01:00,Europe/Rome,True,9,29,56,13,3,2019-12-09 03:38:03.000000,52.0,0,USGS,1,2019-12-09 03:37:05.361999989,mwr,4.6,43.988,11.318,10.0,16.0,5.6,1.7,False,,,,,1.7,2.4,0.2,P
